1000,QA,Employee,19690,,,,,
1001,QA,Employee,29441,,,,,
1002,QA,WageEmployee,6573,294,96,,,
1003,QA,WageEmployee,41911,212,190,,,
1004,QA,WageEmployee,33848,236,94,,,
1005,QA,WageEmployee,29080,115,92,,,
1006,QA,WageEmployee,45226,40,111,,,
1007,QA,WageEmployee,21325,67,49,,,
1008,QA,WageEmployee,15806,287,15,,,
1009,QA,WageEmployee,18582,53,7,,,
1010,QA,WageEmployee,7313,104,33,,,
1011,QA,WageEmployee,17048,288,140,,,
1012,QA,Manager,14042,,,,,2.56
1013,DevOps,Employee,39300,,,,,
1014,DevOps,Employee,44093,,,,,
1015,DevOps,Employee,31111,,,,,
1016,DevOps,Employee,33776,,,,,
1017,DevOps,Employee,44995,,,,,
1018,DevOps,Manager,17869,,,,,2.83
1019,Sales,SalesPerson,25516,,,1.39,41,
1020,Sales,SalesPerson,25165,,,0.3,6,
1021,Sales,SalesPerson,31129,,,0.47,252,
1022,Sales,Manager,18204,,,,,2.24
1023,Development,WageEmployee,28927,133,141,,,
1024,Development,WageEmployee,45629,118,165,,,
1025,Development,WageEmployee,44288,230,158,,,
1026,Development,WageEmployee,28239,186,135,,,
1027,Development,WageEmployee,29319,277,52,,,
1028,Development,WageEmployee,12076,133,158,,,
1029,Development,WageEmployee,37999,141,62,,,
1030,Development,WageEmployee,40877,296,7,,,
1031,Development,WageEmployee,23025,233,54,,,
1032,Development,WageEmployee,23179,157,160,,,
1033,Development,WageEmployee,34476,257,67,,,
1034,Development,WageEmployee,44113,131,147,,,
1035,Development,WageEmployee,6978,152,151,,,
1036,Development,WageEmployee,41776,162,141,,,
1037,Development,WageEmployee,43455,168,176,,,
1038,Development,WageEmployee,11579,228,94,,,
1039,Development,WageEmployee,19269,256,123,,,
1040,Development,WageEmployee,22280,188,63,,,
1041,Development,WageEmployee,5274,125,70,,,
1042,Development,WageEmployee,35358,107,145,,,
1043,Development,WageEmployee,6418,138,32,,,
1044,Development,WageEmployee,13825,77,190,,,
1045,Development,WageEmployee,13904,93,177,,,
1046,Development,WageEmployee,40686,116,198,,,
1047,Development,WageEmployee,11810,89,105,,,
1048,Development,WageEmployee,7010,67,133,,,
1049,Development,WageEmployee,32905,124,91,,,
1050,Development,WageEmployee,35514,277,37,,,
1051,Development,WageEmployee,36828,107,81,,,
1052,Development,WageEmployee,34744,70,102,,,
1053,Development,Manager,38112,,,,,3.58
